location,bedrooms,sqft,bathrooms,property_age,parking,stories,price
Visakhapatnam,1,2761,3,19,1,4,2749360.05
Bhopal,5,2333,3,23,0,1,2875246.32
Mumbai,2,2204,3,2,0,1,3176975.32
Lucknow,4,2811,3,12,2,3,3713220.82
Kolkata,5,2533,1,7,1,2,3410265.97
Mumbai,1,2719,4,19,0,2,3299986.01
Delhi,4,2538,1,18,2,3,4305760.72
Lucknow,3,1864,1,10,2,3,2713096.71
Ahmedabad,3,2558,4,2,1,4,4049865.08
Coimbatore,3,1537,2,5,0,4,2830403.48
Bhopal,4,2041,2,18,2,3,2930645.46
Kolkata,5,2505,1,11,1,3,3612574.87
Pune,4,2695,3,25,1,4,4408868.63
Jaipur,6,2664,2,2,2,4,4740398.02
Nagpur,6,2867,2,17,2,1,3259034.59
Mumbai,5,2889,3,11,0,2,4999769.88
Bhopal,3,2220,2,16,0,2,2556170.12
Bengaluru,1,1980,2,28,1,1,2262314.06
Jaipur,4,2433,2,9,2,4,3898119.99
Jaipur,4,2406,2,3,0,1,3050384.65
Nagpur,1,2507,4,26,0,2,2123373.03
Nagpur,6,3371,4,8,0,2,3777606.46
Visakhapatnam,1,2403,4,24,0,4,2397603.85
Bhopal,5,2854,3,11,1,4,3813427.69
Visakhapatnam,5,2806,4,27,0,4,3842670.88
Jaipur,3,2323,2,22,2,3,3236667.42
Nagpur,5,2873,4,27,2,2,3472607.77
Mumbai,4,2779,1,9,2,3,4610576.66
Pune,3,2437,3,0,1,1,3559086.37
Chennai,2,2284,2,28,1,2,2568410.43
Coimbatore,2,2577,1,13,1,4,2674757.25
Delhi,5,2718,4,20,1,1,4555341.97
Pune,4,3000,4,23,2,1,4062546.73
Visakhapatnam,5,2976,4,1,1,1,3581455.88
Delhi,3,2076,4,26,1,2,4131748.98
Jaipur,2,2105,3,4,1,4,3268050.7
Bengaluru,4,2839,3,3,2,4,5711249.49
Coimbatore,2,2503,4,2,0,1,2584436.82
Kolkata,5,2765,1,2,0,4,3894262.99
Chennai,4,2183,2,24,0,3,3275333.05
Kolkata,3,2207,2,2,1,3,3444933.76
Delhi,4,2760,3,12,1,3,4829914.75
Visakhapatnam,1,2181,4,14,0,1,2031090.86
Delhi,2,2163,1,22,2,1,2500443.39
Nagpur,1,2148,2,11,0,1,1521152.76
Lucknow,2,2379,2,6,0,4,2592081.34
Bhopal,1,2038,2,29,1,3,1977735.32
Nagpur,3,2405,2,29,2,1,2095543.83
Nagpur,2,2911,3,20,0,1,2003538.2
Mumbai,5,3539,4,17,1,2,5379902.49
Hyderabad,5,2711,2,18,0,3,4214104.7
Visakhapatnam,6,2581,1,13,2,1,3199071.28
Delhi,5,3248,4,2,2,3,5677769.84
Hyderabad,5,2948,3,9,0,4,5061537.3
Visakhapatnam,4,2588,1,4,1,3,3114466.06
Bhopal,4,2216,2,27,1,2,2837148.65
Coimbatore,5,2840,3,24,2,4,3991733.46
Jaipur,4,2234,3,29,1,2,3338288.28
Visakhapatnam,1,2211,3,14,1,2,2202077.16
Nagpur,4,2385,4,1,1,1,3050760.0
Jaipur,3,2447,2,29,1,2,2638825.59
Delhi,3,2501,3,23,1,3,3982457.37
Ahmedabad,1,1938,2,3,0,2,1827113.58
Coimbatore,4,2831,4,6,2,2,3876522.66
Coimbatore,4,3075,4,10,1,1,3581714.52
Hyderabad,3,2466,2,15,1,2,3217187.22
Mumbai,6,3069,3,25,1,3,5825269.74
Kolkata,6,3575,3,26,1,4,4748530.9
Mumbai,3,2234,3,0,0,1,3845813.87
Coimbatore,2,2487,3,21,0,2,2483065.79
Pune,2,2327,4,0,1,3,3781450.36
Hyderabad,2,2595,3,11,0,3,3110353.26
Chennai,3,2490,1,10,2,2,3231311.66
Mumbai,1,2290,1,11,2,3,3148653.37
Coimbatore,2,2695,4,28,0,1,2312234.07
Lucknow,3,2177,4,13,1,4,3473245.68
Delhi,2,2078,1,9,1,4,3455860.92
Hyderabad,1,1920,4,2,1,1,3121832.71
Lucknow,6,2513,1,10,0,2,3278967.39
Nagpur,5,2843,3,20,0,2,3107900.08
Hyderabad,5,2863,4,1,2,2,5166630.24
Nagpur,5,2842,4,5,1,4,3838557.26
Mumbai,5,2607,4,10,1,1,5194990.66
Lucknow,6,3310,1,1,0,2,3427273.63
Mumbai,6,2933,1,2,0,2,5034993.61
Chennai,5,2590,1,24,0,1,3074834.65
Kolkata,4,2608,4,6,1,1,3757438.13
Pune,3,2428,3,18,2,4,3781223.06
Hyderabad,6,2757,2,22,1,2,4136625.59
Kolkata,1,2169,2,15,2,2,2391976.82
Mumbai,2,1827,1,13,0,2,2706728.49
Nagpur,3,2082,3,8,1,1,2524057.64
Jaipur,6,2991,3,9,2,4,4853506.49
Mumbai,5,2811,4,3,1,1,5263360.04
Lucknow,1,2316,4,20,2,3,2851738.89
Lucknow,3,2257,1,2,0,2,2552260.7
Bhopal,5,3237,1,22,2,3,3328394.12
Lucknow,1,1750,2,8,1,4,2395309.36
Mumbai,2,2802,4,17,2,4,4681037.69
Hyderabad,4,2316,3,3,1,3,4523421.91
Delhi,6,2680,1,4,0,3,4701176.85
Kolkata,6,3005,4,5,1,4,4978207.11
Visakhapatnam,5,1969,1,29,1,1,2589878.66
Delhi,3,2437,3,29,0,4,3767151.26
Visakhapatnam,5,2681,1,7,2,4,3667667.69
Kolkata,1,2150,2,27,2,3,2257073.37
Lucknow,4,3331,4,8,0,2,3594747.66
Mumbai,5,2567,2,9,1,4,5473034.44
Coimbatore,4,2512,1,7,0,2,2362165.42
Coimbatore,2,2387,3,8,2,1,2556312.0
Ahmedabad,4,2143,1,14,0,1,2432056.52
Jaipur,1,1850,2,10,1,3,2386977.84
Ahmedabad,6,2883,3,20,1,4,4405289.53
Jaipur,2,2577,4,14,2,2,3386834.03
Kolkata,2,1739,2,27,0,3,2167315.31
Nagpur,4,2776,3,28,2,3,3023377.78
Visakhapatnam,1,2266,3,25,2,3,2569398.49
Visakhapatnam,5,3067,4,6,0,4,3978763.56
Ahmedabad,4,2597,3,24,1,4,3535517.76
Jaipur,3,2455,2,10,2,2,3345255.1
Lucknow,4,2489,2,24,1,1,2714643.83
Delhi,6,2630,4,13,2,4,6172190.64
Kolkata,6,3193,2,15,1,1,3670534.2
Chennai,5,2945,3,11,0,4,4656468.44
Hyderabad,5,3212,4,18,0,2,4511533.65
Kolkata,6,2535,2,4,0,4,4476852.49
Nagpur,3,2632,3,16,2,4,3287871.25
Bhopal,1,2187,3,4,2,4,2837406.67
Delhi,6,2876,4,22,2,1,5247017.03
Lucknow,1,2038,2,22,2,3,2160832.71
Pune,6,2709,1,24,1,1,3726592.44
Nagpur,6,2729,1,23,1,2,2844097.35
Coimbatore,3,2148,1,21,0,3,2262002.51
Nagpur,1,2366,3,20,1,3,2307322.54
Kolkata,2,1775,2,10,2,4,3208645.72
Lucknow,6,2457,2,13,0,2,3586132.72
Hyderabad,5,3026,4,18,2,2,5242930.19
Jaipur,5,2768,2,20,0,4,3774959.19
Bhopal,3,2676,4,4,1,1,2996043.6
Nagpur,4,3169,3,12,2,2,3325139.41
Hyderabad,4,2727,3,27,2,3,4290544.65
Bhopal,4,2422,3,29,1,3,3005106.77
Pune,4,3460,4,11,0,2,4117826.32
Kolkata,5,2818,3,24,2,3,4078283.87
Coimbatore,3,2481,1,27,2,4,2549801.52
Mumbai,1,1564,1,22,2,4,2941269.75
Visakhapatnam,3,1989,2,13,2,3,2881361.38
Pune,6,2856,2,14,2,3,4754580.37
Bhopal,6,3129,2,10,2,1,3498247.73
Bhopal,6,3280,1,0,1,4,3975275.8
Bengaluru,5,2595,3,28,2,2,4952099.32
Hyderabad,3,2430,3,2,2,4,4428804.89
Chennai,2,2200,2,17,2,3,3253320.72
Ahmedabad,5,2863,3,6,0,3,3809528.39
Visakhapatnam,4,2650,3,5,2,3,3641164.39
Nagpur,1,2251,4,16,0,2,1998120.03
Nagpur,2,2801,4,13,2,3,2621258.84
Hyderabad,4,2763,1,4,1,1,3147143.97
Jaipur,3,2575,3,28,2,4,3469276.45
Visakhapatnam,6,2674,3,19,0,2,3406495.6
Jaipur,1,2045,3,4,2,2,2720142.22
Bhopal,1,2503,4,0,2,3,3080940.41
Bhopal,4,2256,1,20,0,1,2049259.78
Bengaluru,3,2483,4,19,0,1,3796413.55
Pune,5,2648,2,7,1,4,4507611.67
Delhi,6,3344,4,24,2,2,5680488.4
Kolkata,6,3228,1,6,1,4,4188910.88
Mumbai,1,2294,3,0,0,4,3791827.63
Jaipur,2,1885,3,26,0,3,2744791.43
Ahmedabad,6,2904,3,7,0,4,4457168.31
Mumbai,2,2422,1,8,1,1,2640958.75
Bhopal,2,1747,1,16,0,3,2134971.5
Pune,2,1744,2,28,0,2,2184822.13
Lucknow,2,2058,2,26,1,2,2150211.93
Nagpur,5,2872,1,23,1,2,2681417.01
Chennai,5,2765,3,8,0,1,3984775.03
Bhopal,1,2580,2,7,0,3,2127238.87
Nagpur,2,2364,3,29,0,2,1946906.0
Mumbai,1,1685,2,8,2,4,3763241.09
Ahmedabad,1,1950,1,8,1,4,2173005.27
Nagpur,3,2781,1,24,1,2,2174371.99
Lucknow,1,2206,3,18,1,1,2076492.12
Bengaluru,4,2539,4,27,1,1,4330279.37
Jaipur,6,2681,4,15,0,1,3817518.16
Delhi,5,2649,2,18,0,2,4144712.3
Mumbai,5,2701,3,8,1,3,5330988.47
Jaipur,5,3328,4,8,0,1,3698837.87
Visakhapatnam,6,2673,2,19,1,4,4142033.05
Pune,4,2704,3,6,1,4,4485849.22
Kolkata,6,2650,1,14,1,4,4138621.18
Delhi,6,2600,3,23,1,2,5117924.66
Bhopal,4,2430,1,20,0,1,2363874.08
Hyderabad,4,2034,1,24,2,3,3613748.64
Nagpur,2,2244,1,8,2,3,2431470.53
Bhopal,1,1801,4,2,1,4,2996860.82
Visakhapatnam,6,2780,1,5,1,3,3689072.65
Delhi,1,2296,2,21,0,4,2862733.88
Pune,1,2285,3,20,2,3,3145360.69
Hyderabad,3,2262,2,14,1,1,3130792.2
Lucknow,6,3151,3,5,0,2,3845540.72
Mumbai,6,3252,3,1,1,3,6189767.32
Bengaluru,2,1918,2,27,2,4,3849093.94
Hyderabad,2,2373,1,25,0,2,2183376.91
Kolkata,4,3043,4,1,1,2,3965254.23
Delhi,3,2134,3,3,2,1,4099413.8
Bengaluru,2,2257,2,10,2,1,3231269.57
Bhopal,1,2072,3,9,1,4,2574389.37
Jaipur,5,3356,4,9,1,3,4430048.97
Pune,5,2845,1,18,1,4,4112102.86
Hyderabad,3,2641,4,28,2,3,4278993.25
Bengaluru,2,2758,4,12,2,1,3889931.79
Bengaluru,2,2917,3,26,0,2,3106350.77
Nagpur,3,2062,3,22,1,1,2097990.12
Bengaluru,4,2690,4,10,0,2,4633483.85
Kolkata,5,2478,2,7,2,3,3986552.17
Hyderabad,4,2430,1,11,1,1,3256693.77
Jaipur,1,1861,3,28,2,4,2835254.19
Lucknow,4,3055,4,28,1,1,3036772.34
Kolkata,1,2740,3,5,0,4,2794860.37
Visakhapatnam,6,3083,3,18,0,4,3992665.35
Visakhapatnam,1,1611,2,5,1,4,2408865.96
Ahmedabad,1,2097,4,23,1,3,2538147.35
Pune,3,2251,2,29,0,1,2407782.41
Ahmedabad,5,3109,2,20,1,3,3491116.64
Coimbatore,6,3009,2,6,0,1,3385623.68
Chennai,3,2432,2,17,0,2,2787305.51
Nagpur,6,2581,1,26,0,4,3126824.74
Jaipur,5,2820,4,26,2,3,4229303.81
Visakhapatnam,6,3181,3,16,0,4,4100871.56
Hyderabad,4,2753,4,11,2,3,4780839.13
Nagpur,3,2489,1,14,1,1,1905526.95
Mumbai,4,2665,4,25,0,1,4222741.55
Delhi,3,1354,1,17,2,1,2923797.01
Lucknow,5,2852,4,20,1,1,3601045.71
Jaipur,5,2313,2,26,1,4,3795366.03
Ahmedabad,2,2233,1,25,1,1,1903733.83
Nagpur,3,2365,1,25,2,2,2288865.84
Bengaluru,2,2717,4,18,1,2,4010566.87
Delhi,3,2331,3,26,1,4,4220288.15
Nagpur,3,2216,1,10,2,3,2591101.64
Hyderabad,3,2080,1,24,2,4,3577522.66
Mumbai,3,2387,2,0,1,1,3965872.82
Lucknow,6,3132,2,29,1,3,3424615.23
Bhopal,6,2806,4,19,0,1,3565238.03
Mumbai,5,3368,4,3,2,3,6313566.05
Visakhapatnam,2,2144,1,28,2,4,2553735.99
Ahmedabad,3,2574,1,27,1,3,2332813.89
Chennai,2,2203,3,9,1,2,3233747.5
Pune,2,2105,2,17,0,3,2740207.71
Visakhapatnam,1,2210,1,1,2,3,2076961.57
Nagpur,5,2835,2,0,2,4,3667538.35
Chennai,2,2607,2,20,2,2,2974312.27
Coimbatore,4,1997,1,29,1,3,2645950.85
Bhopal,6,2543,2,4,1,3,3495081.09
Nagpur,6,3328,4,6,0,2,3844045.07
Mumbai,4,2623,2,19,1,4,4676629.96
Jaipur,3,2562,4,28,2,4,3615379.76
Chennai,2,2680,2,11,1,1,2565291.83
Bhopal,4,2913,3,6,2,1,3154451.74
Coimbatore,5,2294,1,25,1,1,2874711.75
Nagpur,2,2451,3,5,1,2,2458560.01
Visakhapatnam,4,2529,1,23,0,4,2793315.99
Delhi,1,2379,4,18,0,4,3629468.02
Ahmedabad,3,2431,2,23,1,1,2475746.25
Delhi,2,1812,1,3,1,1,2691374.42
Visakhapatnam,6,2864,3,6,0,2,3919562.45
Bengaluru,3,2427,4,17,2,2,4543218.72
Nagpur,6,3378,4,9,1,1,3592803.12
Hyderabad,1,2068,3,2,0,2,2782142.11
Ahmedabad,6,3042,4,18,0,3,3925590.08
Pune,3,2526,1,25,0,2,2349525.73
Kolkata,6,2908,4,7,0,1,4191932.24
Visakhapatnam,4,3064,1,21,2,2,2772417.23
Coimbatore,2,2262,3,9,1,1,2461806.3
Lucknow,3,2152,2,10,2,4,3232325.63
Chennai,6,2539,1,17,2,3,4495915.06
Hyderabad,5,2877,1,6,1,4,4587070.38
Bengaluru,6,3523,4,0,1,3,6496312.64
Coimbatore,1,2611,3,26,0,3,2177941.09
Pune,6,3032,1,10,2,3,4669819.02
Chennai,1,2169,3,24,2,3,3121121.56
Visakhapatnam,6,3459,2,15,2,4,4041755.06
Coimbatore,4,2463,2,1,0,1,2841215.93
Coimbatore,4,2270,1,26,1,2,2506233.7
Bengaluru,2,1811,1,23,1,3,2873110.41
Ahmedabad,4,2793,4,16,1,1,3604069.84
Nagpur,6,2677,2,29,1,3,3362736.09
Visakhapatnam,1,2149,3,5,1,1,2115277.36
Nagpur,3,2489,4,0,1,4,3422000.4
Kolkata,3,2313,2,26,1,4,2918993.51
Delhi,5,3102,3,12,0,4,5250788.43
Hyderabad,4,2241,2,29,2,3,3713770.61
Delhi,1,1493,1,21,1,3,2646670.55
Mumbai,4,3080,4,27,0,4,5053702.98
Delhi,4,2015,1,17,2,3,3996213.29
Lucknow,4,3063,3,21,2,1,3272867.56
Hyderabad,6,3264,4,27,1,2,4876189.17
Bengaluru,2,2296,4,29,0,2,3261268.4
Hyderabad,2,2404,3,14,1,4,3680507.6
Lucknow,1,2161,2,13,2,4,2512826.48
Delhi,3,2039,4,17,0,2,3883242.28
Ahmedabad,3,2525,4,29,1,3,3070734.61
Pune,1,2109,1,9,2,2,2239783.87
Jaipur,5,2858,4,29,2,1,3849333.67
Mumbai,3,2215,4,2,0,3,4709189.48
Coimbatore,4,2579,2,10,0,2,2738150.93
Visakhapatnam,1,2192,4,7,0,4,2857431.23
Hyderabad,6,3430,3,5,2,3,5661814.61
Coimbatore,1,2360,3,14,1,2,2419100.11
Coimbatore,6,3019,2,17,1,2,3698315.0
Hyderabad,2,2121,2,3,0,4,3413270.74
Bengaluru,3,2481,3,15,1,2,4008973.53
Lucknow,1,1865,1,28,1,4,1774898.42
Coimbatore,6,3180,4,1,2,4,4721415.92
Nagpur,4,2476,1,26,0,3,2396860.19
Bhopal,1,2519,4,14,1,3,2215556.75
Chennai,5,2513,2,0,0,4,4593372.5
Ahmedabad,1,2188,1,6,2,2,1993669.69
Mumbai,2,2271,2,13,1,2,3272248.18
Delhi,5,2810,3,20,0,3,4711548.94
Pune,6,3031,3,18,0,3,4833901.07
Lucknow,5,2672,1,0,2,2,3546748.93
Lucknow,5,2791,2,20,0,3,3269473.61
Visakhapatnam,5,2786,1,11,0,1,2527549.81
Bengaluru,6,2839,3,19,2,2,5583899.2
Nagpur,5,2963,4,26,2,1,3321454.49
Jaipur,6,3128,3,22,2,3,4625832.99
Jaipur,2,2376,4,9,1,4,3623060.86
Hyderabad,6,3072,1,22,0,4,4478429.24
Kolkata,4,2722,4,24,0,3,3810063.22
Lucknow,2,2351,3,0,2,3,2994517.28
Coimbatore,3,2334,4,11,0,3,3042253.89
Ahmedabad,5,2389,1,13,1,2,3338117.62
Jaipur,1,1973,3,6,1,2,2340253.42
Chennai,1,1944,1,20,1,4,2414587.7
Visakhapatnam,5,2801,4,11,0,2,3819498.7
Visakhapatnam,3,2515,3,14,0,2,2771630.04
Jaipur,5,2618,4,17,1,3,4011409.35
Jaipur,1,2505,1,22,1,4,2297595.17
Pune,2,2474,3,28,0,1,2477348.67
Mumbai,4,2734,4,27,1,1,4464755.34
Visakhapatnam,1,2063,4,14,0,3,2371762.19
Coimbatore,3,2393,4,9,1,1,2912257.31
Kolkata,1,2066,2,9,1,3,2630455.47
Hyderabad,4,3193,4,8,2,3,5074308.78
Visakhapatnam,5,2364,1,5,0,1,2687693.62
Kolkata,3,2248,3,15,2,3,3594830.08
Nagpur,2,2043,2,17,2,4,2611356.83
Ahmedabad,1,2263,1,16,0,2,1596126.1
Coimbatore,3,2652,4,28,2,4,3497151.34
Chennai,5,3053,2,26,1,3,4153748.29
Chennai,4,2497,3,18,2,3,4233775.19
Ahmedabad,5,3278,4,27,2,3,4105111.92
Jaipur,1,1816,3,23,1,1,1918597.78
Kolkata,5,3068,3,12,2,1,3848955.82
Lucknow,4,2504,3,18,2,2,3331532.1
Coimbatore,1,2837,4,5,0,4,2761791.49
Chennai,6,3084,2,6,0,1,4209103.49
Pune,1,2578,4,16,1,4,3619191.19
Chennai,4,2415,2,17,1,4,3891967.14
Visakhapatnam,6,2881,1,4,2,2,3618268.34
Ahmedabad,2,2111,3,12,2,4,3440283.82
Ahmedabad,4,2933,3,29,0,4,3477035.3
Ahmedabad,3,2647,3,8,2,3,3671802.19
Lucknow,4,2273,2,10,0,3,2917922.77
Ahmedabad,3,2388,2,2,1,3,3023621.61
Coimbatore,2,2278,4,16,1,4,3279184.77
Delhi,5,2946,3,15,1,1,4608909.68
Lucknow,6,2855,4,20,1,3,4033594.83
Nagpur,2,2754,3,13,0,3,2446856.28
Coimbatore,1,2165,3,28,1,3,2163143.53
Coimbatore,4,2700,2,6,0,3,3052519.17
Ahmedabad,6,2802,3,13,0,1,3627876.82
Lucknow,6,2728,2,19,0,1,3294640.78
Bhopal,5,2601,2,4,2,2,3275387.32
Bengaluru,1,2575,4,15,1,4,4042121.03
Hyderabad,6,2725,2,22,0,2,4199951.13
Kolkata,6,3194,4,23,1,2,4358360.42
Nagpur,3,2221,3,10,1,1,2377131.47
Nagpur,1,1542,2,11,2,1,1846360.96
Chennai,4,3120,2,15,0,4,3815843.64
Nagpur,4,2558,2,29,2,3,2949316.89
Bengaluru,1,2039,3,27,2,1,2855020.47
Delhi,3,2641,4,11,2,4,5045710.94
Chennai,5,3127,4,9,1,2,4835031.59
Nagpur,1,2094,3,5,0,4,2252424.58
Bhopal,3,2110,2,29,0,3,2455774.22
Nagpur,3,2662,2,3,0,4,2833085.79
Visakhapatnam,4,3320,3,22,0,4,3246031.17
Bhopal,1,2022,2,11,0,4,1973540.85
Delhi,2,1983,1,2,1,4,3416687.51
Pune,4,2694,3,28,1,3,3901465.93
Lucknow,6,2331,1,15,1,3,3425710.66
Coimbatore,2,1835,1,19,2,1,1952859.49
Jaipur,3,2520,2,19,1,3,2826608.17
Coimbatore,1,2084,3,1,1,2,2621447.14
Pune,2,2293,4,3,0,4,3740104.86
Coimbatore,5,2700,3,20,1,4,3856703.64
Nagpur,5,2744,2,29,0,1,2380316.2
Ahmedabad,4,2793,3,9,0,1,3168574.95
Bengaluru,5,2869,2,12,2,2,5198771.65
Chennai,3,2264,4,11,0,2,3613627.75
Coimbatore,5,3294,4,22,0,4,3938462.0
Nagpur,1,2110,4,0,0,4,2316984.92
Jaipur,5,2844,1,4,2,4,3981144.78
Bhopal,3,1875,1,0,1,3,2652828.19
Visakhapatnam,1,1761,2,16,2,1,1847637.72
Bengaluru,4,2991,3,2,2,1,4740858.65
Ahmedabad,1,1589,1,9,1,1,1625159.58
Mumbai,4,2515,2,11,0,4,4850722.02
Delhi,4,2572,4,23,1,4,4722953.58
Hyderabad,6,2746,2,20,2,3,5031642.16
Hyderabad,2,2024,4,25,2,2,3444471.63
Coimbatore,2,2640,1,19,0,3,2009914.21
Jaipur,6,3231,4,18,2,4,5089377.31
Visakhapatnam,2,2208,2,4,1,3,2490761.06
Chennai,3,2403,2,20,2,1,3311842.13
Bengaluru,6,3065,4,2,2,1,6005634.64
Pune,2,1871,1,8,0,1,2254357.56
Jaipur,5,2932,1,19,0,1,2750185.49
Kolkata,4,2442,2,2,2,2,3576235.98
Nagpur,1,2328,2,7,2,3,2349342.4
Pune,6,3197,3,11,2,3,5317160.47
Pune,3,2296,2,18,2,2,3258135.24
Kolkata,3,2666,3,15,0,2,3111490.45
Bhopal,6,2992,4,29,2,4,4364164.02
Bengaluru,3,2998,4,22,2,3,5004264.19
Coimbatore,4,2939,4,3,0,3,3838210.88
Kolkata,2,2584,4,6,0,2,2990720.38
Mumbai,6,2648,2,13,1,1,4696151.61
Ahmedabad,4,2950,4,7,2,2,3904433.92
Kolkata,2,2262,3,26,0,3,2584248.8
Bhopal,1,1911,4,24,1,1,2104230.63
Ahmedabad,6,2876,2,22,0,3,3684326.39
Kolkata,6,3115,1,21,0,2,3412572.86
Nagpur,5,2912,2,5,1,2,3288188.86
Visakhapatnam,3,2584,3,28,0,2,2444495.0
Pune,6,2903,1,24,2,4,4489935.77
Pune,6,2927,2,25,1,2,3972715.06
Ahmedabad,3,2580,3,17,1,4,3557209.79
Ahmedabad,6,2546,3,16,1,3,4149734.33
Delhi,5,3175,4,19,1,1,4821436.51
Nagpur,6,2998,4,13,1,2,3823708.8
Delhi,3,2565,4,24,0,2,3676268.05
Coimbatore,2,2147,1,21,1,4,2220169.04
Mumbai,2,1889,2,10,1,2,3418766.52
Kolkata,5,2812,2,0,1,3,4238703.68
Mumbai,4,2595,4,28,1,2,4740434.65
Coimbatore,3,2003,2,4,0,4,2877513.02
Chennai,5,2807,1,29,2,1,3425092.32
Visakhapatnam,1,1687,1,21,0,4,1521662.32
Chennai,6,2978,2,11,0,2,4411065.1
Bengaluru,2,2877,4,0,1,1,3896614.73
Lucknow,6,2763,4,23,2,4,4653306.69
Bengaluru,1,2307,4,14,0,1,2835837.94
Ahmedabad,6,2893,3,17,2,3,4362623.56
Bengaluru,5,3463,4,18,0,1,4989698.36
Hyderabad,5,3006,2,8,0,2,4138972.83
Lucknow,5,2858,3,2,1,3,4055164.63
Nagpur,4,2395,1,23,1,4,2664107.63
Jaipur,5,2986,2,15,2,2,3827608.53
